Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,131
Base Time Seconds,1636143259
Base Time Fractional,.915939120
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.5068295001984,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.9999927282333,Volt DC,1,T,2W,F,F,11/05/2021,20:14:19,.915939120
2,-0.5031475424767,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.9499815702438,Volt DC,1,T,2W,F,F,11/05/2021,20:14:19,.999743620
3,-0.5052306056023,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.8999854326248,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.083553760
4,-0.5028386116028,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.8500102758408,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.167341180
5,-0.5010313391685,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.7999497652054,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.251131720
6,-0.5012630820274,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.7499983906746,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.334932060
7,-0.4974581897259,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6999897360802,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.418743000
8,-0.502620100975,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6499974727631,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.502569260
9,-0.4987451732159,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6000072956085,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.586358700
10,-0.4972691833973,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5499921441078,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.670157720
11,-0.4972818493843,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5000101327896,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.753962260
12,-0.492953389883,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4499951303005,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.837759500
13,-0.4940640628338,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4000021219254,Volt DC,1,T,2W,F,F,11/05/2021,20:14:20,.921540200
14,-0.4910099506378,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3500127494335,Volt DC,1,T,2W,F,F,11/05/2021,20:14:21,.005334440
15,-0.4901406466961,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2999970018864,Volt DC,1,T,2W,F,F,11/05/2021,20:14:21,.089137620
16,-0.4893912672997,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2500027120113,Volt DC,1,T,2W,F,F,11/05/2021,20:14:21,.172917060
17,-0.4887297451496,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999803483486,Volt DC,.1,T,2W,F,F,11/05/2021,20:14:21,.259978200
18,-0.4864350557327,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1500065624714,Volt DC,.1,T,2W,F,F,11/05/2021,20:14:21,.343769160
19,-0.4843208491802,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999770909548,Volt DC,.1,T,2W,F,F,11/05/2021,20:14:21,.427561700
20,-0.4839557111263,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499977357686,Volt DC,.1,T,2W,F,F,11/05/2021,20:14:21,.511350240
21,-0.4801565408707,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099782737,Volt DC,.1,T,2W,F,F,11/05/2021,20:14:21,.595153900
22,-0.4810879826546,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0500040166080,Volt DC,.1,T,2W,F,F,11/05/2021,20:14:21,.679258240
23,-0.4779177010059,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0999922230840,Volt DC,.1,T,2W,F,F,11/05/2021,20:14:21,.763041380
24,-0.4772352874279,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1500002145767,Volt DC,.1,T,2W,F,F,11/05/2021,20:14:21,.846830120
25,-0.4765178859234,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1999921798706,Volt DC,.1,T,2W,F,F,11/05/2021,20:14:21,.930606080
26,-0.4748247861862,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2500054836273,Volt DC,1,T,2W,F,F,11/05/2021,20:14:22,.016878740
27,-0.4731210172176,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999952733517,Volt DC,1,T,2W,F,F,11/05/2021,20:14:22,.100682380
28,-0.4699709415436,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3500102758408,Volt DC,1,T,2W,F,F,11/05/2021,20:14:22,.184474200
29,-0.4703795313835,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3999976515770,Volt DC,1,T,2W,F,F,11/05/2021,20:14:22,.268260360
