Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,96
Base Time Seconds,1636144550
Base Time Fractional,.884905760
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.837034702301,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999872773886,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:50,.884905760
2,-0.8364153504372,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899869292974,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:50,.968732100
3,-0.8374135494232,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799898147583,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.052509960
4,-0.835770368576,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699909418821,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.136300300
5,-0.8370498418808,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599916070700,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.220067620
6,-0.8369839787483,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499949395657,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.303862980
7,-0.8353942036629,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399921029806,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.387641600
8,-0.8369107246399,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299935132265,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.471430340
9,-0.8361201286316,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199962422252,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.555239480
10,-0.8361433148384,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099944338202,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.639006160
11,-0.8364291191101,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999984890223,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.722792060
12,-0.8347409963608,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899975597858,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.806571940
13,-0.8364257216454,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799994543195,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.890373620
14,-0.8358653187752,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699998363853,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:51,.974170260
15,-0.8352202773094,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0600003078580,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.057952880
16,-0.8360623717308,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499978922307,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.141731680
17,-0.8343455195427,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399988293648,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.225509620
18,-0.8356239795685,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299990512431,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.309305360
19,-0.8352515101433,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0200021173805,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.393111020
20,-0.8343150019646,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099977804348,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.476892240
21,-0.8358728885651,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000024541550,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.560666480
22,-0.8337661623955,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0100015513599,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.644767380
23,-0.8345941305161,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0200000796467,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.728546480
24,-0.834743976593,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0299980323762,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.812352240
25,-0.8332979679108,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0399974808097,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.896138320
26,-0.834502696991,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0499972514808,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:52,.979924000
27,-0.8327981233597,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0599946491420,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.063695140
28,-0.8335972428322,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0699908956885,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.147490980
29,-0.8336634039879,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0799927264452,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.231266100
30,-0.8316022753716,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0899926722050,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.315045320
31,-0.8331069350243,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0999894738197,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.398828780
32,-0.8314615488052,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1099881827831,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.482602840
33,-0.8310823440552,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1199881806970,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.566396540
34,-0.8315124511719,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1299879252911,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.650172920
35,-0.8289430737495,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1399863362312,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.733933540
36,-0.8296086788177,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1499874293804,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.817727820
37,-0.828206717968,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1599861532450,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.901507940
38,-0.8264978528023,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1699859201908,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:53,.985279500
39,-0.8264027237892,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1799875646830,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:54,.069059540
40,-0.823650598526,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1899865269661,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:54,.152834660
41,-0.8232309818268,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1999887973070,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:54,.236614580
42,-0.8206409215927,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2099862843752,Volt DC,.1,T,2W,F,F,11/05/2021,20:35:54,.320409200
43,-0.8185523152351,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2199876606464,Volt DC,1,T,2W,F,F,11/05/2021,20:35:54,.406678400
44,-0.8153363466263,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2300128340721,Volt DC,1,T,2W,F,F,11/05/2021,20:35:54,.490477660
45,-0.8105745911598,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2400081753731,Volt DC,1,T,2W,F,F,11/05/2021,20:35:54,.574266260
46,-0.8080307841301,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2499943822622,Volt DC,1,T,2W,F,F,11/05/2021,20:35:54,.658054400
